,time,f,f2
163,1.6300000000000001,0.002,0.15882069333868626
164,1.6400000000000001,0.006,0.15701090130710868
165,1.6500000000000001,0.006,0.15517619293200655
166,1.6600000000000001,0.002,0.1533169095677485
167,1.67,0.006999999999999999,0.15143339598552552
168,1.68,0.006999999999999999,0.1495260003173434
169,1.69,-0.017,0.14759507399954408
170,1.7,-0.025,0.14564097171585977
171,1.71,-0.023,0.14366405134001176
172,1.72,-0.021,0.14166467387786194
173,1.73,-0.011000000000000001,0.13964320340912517
174,1.74,-0.013000000000000001,0.13760000702865566
175,1.75,-0.006999999999999999,0.13553545478730816
176,1.76,0.003,0.133449919632393
177,1.77,0.001,0.13134377734772645
178,1.78,-0.002,0.12921740649328883
179,1.79,-0.001,0.1270711883445022
180,1.8,0.0,0.12490550683112948
181,1.81,0.006999999999999999,0.12272074847581417
182,1.82,0.015,0.12051730233226204
183,1.83,0.009000000000000001,0.11829555992307879
184,1.84,0.009000000000000001,0.11605591517727135
185,1.85,0.017,0.11379876436742312
186,1.86,0.013999999999999999,0.11152450604655513
187,1.87,-0.005,0.1092335409846769
188,1.8800000000000001,-0.013000000000000001,0.10692627210504187
189,1.8900000000000001,-0.005,0.1046031044201176
190,1.9000000000000001,-0.009000000000000001,0.10226444496727578
191,1.9100000000000001,-0.013999999999999999,0.09991070274421797
192,1.92,-0.006999999999999999,0.09754228864414072
193,1.93,0.005,0.0951596153906559
194,1.94,0.009000000000000001,0.0927630974724729
195,1.95,0.006999999999999999,0.09035315107785327
196,1.96,0.002,0.08793019402884791
197,1.97,-0.013999999999999999,0.08549464571532696
198,1.98,-0.013999999999999999,0.08304692702881439
199,1.99,-0.006999999999999999,0.08058746029613373
200,2.0,-0.003,0.07811666921287672
201,2.0100000000000002,-0.004,0.07563497877670847
202,2.02,-0.004,0.07314281522051262
203,2.0300000000000002,0.013000000000000001,0.07064060594539393
204,2.04,0.018000000000000002,0.06812877945354234
205,2.05,0.001,0.06560776528097303
206,2.06,-0.013999999999999999,0.06307799393015143
207,2.07,-0.02,0.06053989680251336
208,2.08,-0.021,0.057993906130889276
209,2.09,-0.022000000000000002,0.055440454911846716
210,2.1,-0.013000000000000001,0.052879976837956796
211,2.11,0.002,0.05031290622999922
212,2.12,0.005,0.04773967796911236
213,2.13,0.005,0.045160727428902224
214,2.14,0.006999999999999999,0.04257649040751799
215,2.15,-0.001,0.03998740305970653
216,2.16,-0.006999999999999999,0.03739390182885482
217,2.17,-0.006999999999999999,0.03479642337903121
218,2.18,-0.013000000000000001,0.032195404527035995
219,2.19,-0.013000000000000001,0.029591282174471965
220,2.2,-0.006999999999999999,0.02698449323984435
221,2.21,-0.001,0.024375474590701482
222,2.22,0.003,0.021764662975825577
223,2.23,0.001,0.01915249495748586
224,2.24,-0.004,0.01653940684376029
225,2.25,-0.004,0.013925834620943019
226,2.2600000000000002,0.001,0.011312213886039481
227,2.27,-0.006999999999999999,0.008698979779367358
228,2.2800000000000002,-0.021,0.0060865669172673895
229,2.29,-0.024,0.0034754093249380474
230,2.3000000000000003,-0.017,0.000865940369403892
231,2.31,-0.015,-0.001741407307374335
232,2.32,-0.023,-0.0043462018552357234
233,2.33,-0.016,-0.0069480122823912804
234,2.34,0.003,-0.0095464085218228
235,2.35,0.016,-0.012140961497497828
236,2.36,0.016,-0.014731243190391749
237,2.37,0.006999999999999999,-0.01731682670430476
238,2.38,0.002,-0.019897286331465317
239,2.39,0.002,-0.022472197617910583
240,2.4,0.01,-0.02504113742863336
241,2.41,0.009000000000000001,-0.02760368401248363
242,2.42,0.002,-0.030159417066818947
243,2.43,0.006,-0.03270791780188999
244,2.44,0.013000000000000001,-0.0352487690049551
245,2.45,0.008,-0.0377815551041085
246,2.46,-0.002,-0.040305862231820956
247,2.47,-0.001,-0.04282127828817422
248,2.48,0.008,-0.045327393003786555
249,2.49,0.015,-0.04782379800241664
250,2.5,0.015,-0.050310086863235966
251,2.5100000000000002,0.011000000000000001,-0.052785855182762006
252,2.52,0.0,-0.055250700636442475
253,2.5300000000000002,-0.003,-0.05770422303988007
254,2.54,-0.002,-0.060146024409689976
255,2.5500000000000003,-0.01,-0.06257570902397946
256,2.56,-0.023,-0.06499288348244295
257,2.57,-0.025,-0.06739715676605977
258,2.58,-0.019,-0.069788140296389
259,2.59,-0.021,-0.07216544799444977
260,2.6,-0.017,-0.07452869633918169
261,2.61,-0.001,-0.07687750442547168
262,2.62,0.006999999999999999,-0.07921149402174317
263,2.63,0.008,-0.08153028962709587
264,2.64,-0.005,-0.08383351852798854
265,2.65,-0.017,-0.0861208108544577
266,2.66,-0.017,-0.0883917996358604
267,2.67,-0.022000000000000002,-0.09064612085613552
268,2.68,-0.03,-0.0928834135085753
269,2.69,-0.026000000000000002,-0.09510331965009704
270,2.7,-0.013999999999999999,-0.0973054844550073
271,2.71,0.003,-0.09948955626825254
272,2.72,0.015,-0.10165518665814548
273,2.73,0.013000000000000001,-0.10380203046856121
274,2.74,0.008,-0.10592974587059431
275,2.75,0.012,-0.10803799441366868
276,2.7600000000000002,0.005,-0.11012644107609466
277,2.77,-0.006999999999999999,-0.11219475431506225
278,2.7800000000000002,-0.008,-0.11424260611606837
279,2.79,-0.006999999999999999,-0.1162696720417643
280,2.8000000000000003,-0.005,-0.11827563128021976
281,2.81,0.0,-0.12026016669259923
282,2.82,-0.004,-0.12222296486023418
283,2.83,-0.013999999999999999,-0.1241637161310957
284,2.84,-0.019,-0.1260821146656506
285,2.85,0.0,-0.1279778584821023
286,2.86,0.006999999999999999,-0.12985064950100322
287,2.87,-0.003,-0.1317001935892339
288,2.88,0.0,-0.13352620060334858
289,2.89,-0.002,-0.1353283844322686
290,2.9,-0.002,-0.13710646303932889
291,2.91,0.002,-0.13886015850366448
292,2.92,-0.009000000000000001,-0.14058919706093326
293,2.93,-0.006999999999999999,-0.14229330914336982
294,2.94,0.001,-0.14397222941916057
295,2.95,0.002,-0.14562569683114063
296,2.96,0.013000000000000001,-0.14725345463479902
297,2.97,0.012,-0.14885525043559628
298,2.98,0.008,-0.1504308362255772
299,2.99,0.006999999999999999,-0.15197996841928324
300,3.0,0.0,-0.15350240788895603
301,3.0100000000000002,-0.004,-0.15499791999902446
302,3.02,-0.011000000000000001,-0.15646627463987273
303,3.0300000000000002,-0.012,-0.15790724626088462
304,3.04,-0.018000000000000002,-0.15932061390275826
305,3.0500000000000003,-0.033,-0.1607061612290872
306,3.06,-0.027000000000000003,-0.16206367655720103
307,3.0700000000000003,-0.013999999999999999,-0.16339295288826589
308,3.08,-0.005,-0.16469378793663392
309,3.09,0.0,-0.16596598415844468
310,3.1,0.01,-0.16720934877946841
311,3.11,0.02,-0.16842369382218939
312,3.12,0.019,-0.16960883613212538
313,3.13,0.018000000000000002,-0.17076459740338262
314,3.14,0.015,-0.17189080420343447
315,3.15,0.01,-0.17298728799712842
316,3.16,0.004,-0.17405388516991474
317,3.17,-0.003,-0.17509043705029284
